squirrel_id,grid,locx,locy,year,sex,survived,survived2,survived3,all_litters_fit,mast,social_survival,social_survival2,social_survival3,social_repro,age,std_soc_repro,std_soc_surv,std_soc_surv2,std_soc_surv3
460,KL,0,0,1989,F,0,-1,-0.5,0,n,3.351778656,-2.197628458,0.577075099,1.226284585,1,-0.445683164,0.288451236,-1.082017581,-0.388113813
567,KL,-1,4,1989,F,0,-1,-0.5,0,n,4.265810277,-1.359683794,1.453063241,1.449604743,3,-0.026535553,1.37613581,0.271148819,1.20193867
583,KL,0,0,1989,F,0,-1,-0.5,0,n,3.351778656,-2.197628458,0.577075099,1.226284585,1,-0.445683164,0.288451236,-1.082017581,-0.388113813
584,KL,-2,1,1989,F,0,-1,-0.5,0,n,3.338932806,-1.780632411,0.779150198,0.977272727,2,-0.913051295,0.273164858,-0.408625812,-0.021316596
695,KL,6.3,10.4,1989,F,0,-1,-0.5,0,n,3.567193676,-0.710474308,1.428359684,1.315217391,3,-0.278765974,0.544792033,1.319533636,1.157097934
697,KL,9.2,4.9,1989,F,0,-1,-0.5,0,n,2.683794466,-0.988142292,0.847826087,1.698616601,4,0.440832579,-0.50644041,0.871137694,0.103340649
699,KL,12,2,1989,F,0,-1,-0.5,0,n,2.360671937,-0.727272727,0.816699605,1.274703557,1,-0.354806027,-0.890951606,1.292406479,0.046841322
701,KL,6.5,0.5,1989,F,0,-1,-0.5,0,n,2.602766798,-1.049407115,0.776679842,2.098814229,2,1.191959933,-0.602862178,0.772203358,-0.025800669
712,KL,0.5,12,1989,F,0,-1,-0.5,0,n,2.615612648,-0.568181818,1.023715415,0.923913043,3,-1.013201609,-0.5875758,1.549316609,0.422606686
810,KL,10.1,11,1989,F,1,0,0.5,0,n,2.901185771,-0.815217391,1.04298419,0.761857708,3,-1.317361822,-0.247747863,1.150387836,0.45758246
848,KL,5,4,1989,F,1,0,0.5,3,n,3.016798419,-1.576086957,0.720355731,1.455533597,3,-0.015407741,-0.110170463,-0.078312787,-0.128037546
874,KL,10,1,1989,F,1,0,0.5,1,n,1.761857708,-1.522727273,0.119565217,0.969367589,2,-0.927888379,-1.603531987,0.007855828,-1.218564235
875,KL,-3,0,1989,F,1,0,0.5,0,n,1.808300395,-2.131422925,-0.161561265,0.733201581,3,-1.37114625,-1.548265852,-0.97510467,-1.728851805
880,KL,1,8,1989,F,1,0,0.5,0,n,4.179841897,-1.31916996,1.430335968,2.57312253,3,2.082184946,1.273834667,0.336573138,1.160685193
881,KL,1.5,7,1989,F,1,0,0.5,1,n,4.779644269,-1.389328063,1.695158103,2.178853755,2,1.342185404,1.987590923,0.223277366,1.641377878
981,KL,9,11.5,1989,F,1,0,0.5,0,n,3.137351779,-0.95256917,1.092391304,0.804347826,3,-1.237612498,0.033286314,0.928583438,0.547263931
1072,KL,0,0,1989,F,1,0,0.5,0,n,2.351778656,-3.197628458,-0.422924901,1.226284585,2,-0.445683164,-0.901534483,-2.696881257,-2.203266787
1181,KL,1.1,10.5,1989,F,1,0,0.5,0,n,2.699604743,-1.462450593,0.618577075,1.385375494,1,-0.147086857,-0.487626407,0.105194449,-0.312781377
1218,KL,4,0.5,1989,F,1,0,0.5,1,n,2.286561265,-1.763833992,0.261363636,1.564229249,2,0.188602158,-0.979142247,-0.381498655,-0.961178413
1219,KL,9,10.5,1989,F,1,0,0.5,0,n,3.313241107,-1.04743083,1.132905138,0.960474308,1,-0.944580098,0.242592102,0.775394789,0.620802737
1319,KL,3.5,7,1989,F,1,0,0.5,2,n,3.994071146,-1.393280632,1.300395257,1.948616601,3,0.910055346,1.052770126,0.216894506,0.924822924
1321,KL,5,9.5,1989,F,1,0,0.5,0,n,3.010869565,-1.610671937,0.700098814,1.868577075,3,0.759829875,-0.117225714,-0.134162815,-0.16480695
1397,KL,1,5.5,1989,F,1,0,0.5,0,n,4.568181818,-1.654150198,1.45701581,2.651185771,3,2.228701146,1.735953626,-0.204374279,1.209113187
1574,KL,11,3,1989,F,1,0,0.5,0,n,1.835968379,-1.827075099,0.00444664,1.471343874,1,0.014266426,-1.515341346,-0.483624421,-1.427522062
1890,KL,-1.3,3,1989,F,1,0,0.5,0,n,2.881422925,-2.663043478,0.109189723,1.281620553,3,-0.341823579,-0.271265367,-1.833599391,-1.237397344
1944,KL,0,5.5,1989,F,1,0,0.5,0,n,4.178853755,-1.812252964,1.183300395,2.032608696,1,1.067699359,1.272658791,-0.459688695,0.712277838
494,SU,7,14.5,1989,F,0,-1,-0.5,0,n,3.886363636,-0.602766798,1.641798419,0.79743083,1,-0.234827775,-0.370823014,1.272872199,0.083088925
546,SU,0,0,1989,F,0,-1,-0.5,0,n,3.04743083,-1.269762846,0.888833992,0.40513834,2,-0.992767829,-1.104054705,-0.351303102,-1.187907129
613,SU,0,0,1989,F,0,-1,-0.5,0,n,3.04743083,-1.269762846,0.888833992,0.40513834,3,-0.992767829,-1.104054705,-0.351303102,-1.187907129
687,SU,8.5,11,1989,F,0,-1,-0.5,0,n,5.151185771,-0.897233202,2.126976285,1.164031621,3,0.473473888,0.734638193,0.555828881,0.902064072
688,SU,9.1,6.4,1989,F,0,-1,-0.5,0,n,5.494071146,-0.894268775,2.299901186,1.026679842,3,0.20809941,1.034321817,0.563047438,1.193959491
692,SU,14,6,1989,F,0,-1,-0.5,0,n,4.374505929,-0.539525692,1.917490119,0.437747036,2,-0.929765256,0.055815921,1.426868079,0.548453621
709,SU,3.5,6.5,1989,F,0,-1,-0.5,0,n,6.490118577,-0.77173913,2.859189723,1.650197628,3,1.412784988,1.904872517,0.861414456,2.138032675
715,SU,9,9,1989,F,1,0,0.5,0,n,4.812252964,-1.656126482,1.578063241,1.56027668,3,1.239050618,0.438409135,-1.292121684,-0.024495387
783,SU,7,4,1989,F,1,0,0.5,0,n,5.036561265,-1.230237154,1.903162055,0.997035573,1,0.150824343,0.634455771,-0.255055677,0.524268001
835,SU,6,7,1989,F,1,0,0.5,0,n,5.813241107,-1.523715415,2.144762846,1.187747036,2,0.519293942,1.313278043,-0.969692809,0.932087601
849,SU,6,7,1989,F,1,0,0.5,0,n,5.813241107,-1.523715415,2.144762846,1.187747036,3,0.519293942,1.313278043,-0.969692809,0.932087601
852,SU,9,1.5,1989,F,1,0,0.5,0,n,4.64229249,-0.817193676,1.912549407,1.087944664,3,0.326467882,0.289862786,0.750729917,0.540113752
872,SU,10.5,10.5,1989,F,1,0,0.5,0,n,4.438735178,-1.407114625,1.515810277,0.999011858,3,0.154642681,0.111952623,-0.685762905,-0.129577738
879,SU,9,3,1989,F,1,0,0.5,0,n,4.951581028,-1.024703557,1.963438735,0.916007905,3,-0.005727507,0.560182596,0.245430934,0.626014404
899,SU,11.7,5,1989,F,1,0,0.5,0,n,3.993083004,-1.306324111,1.343379447,0.62055336,3,-0.576569009,-0.277549724,-0.440331971,-0.42063917
1148,SU,15.2,5.7,1989,F,1,0,0.5,0,n,2.58201581,-1.283596838,0.649209486,0.345849802,1,-1.107317964,-1.510829883,-0.384989701,-1.592390781
1195,SU,7.5,1,1989,F,1,0,0.5,1,n,4.091897233,-0.815217391,1.638339921,0.340909091,3,-1.116863808,-0.191185568,0.755542288,0.077251016
1266,SU,2.5,15,1989,F,1,0,0.5,0,n,3.568181818,-0.631422925,1.468379447,1.04743083,3,0.248191957,-0.648915599,1.203092816,-0.209640481
1271,SU,11,1,1989,F,1,0,0.5,0,n,3.37944664,-0.672924901,1.35326087,0.595849802,2,-0.624298231,-0.813871138,1.102033019,-0.403959432
1278,SU,0,0,1989,F,1,0,0.5,0,n,2.04743083,-2.269762846,-0.111166008,0.40513834,2,-0.992767829,-1.978059971,-2.786362961,-2.875896638
1295,SU,3,12,1989,F,1,0,0.5,2,n,5.440711462,-0.878458498,2.281126482,0.425889328,3,-0.952675282,0.987685172,0.601546408,1.162267988
1299,SU,4.2,18.5,1989,F,1,0,0.5,0,n,2.097826087,-0.454545455,0.821640316,0.446640316,2,-0.912582735,-1.934014251,1.633800044,-1.301329349
1304,SU,0.5,3,1989,F,1,0,0.5,0,n,3.147233202,-1.27173913,0.937747036,0.634387352,1,-0.549840644,-1.016826906,-0.356115473,-1.105342425
1355,SU,2.5,5,1989,F,1,0,0.5,0,n,5.039525692,-1.421936759,1.808794466,1.183794466,3,0.511657266,0.637046696,-0.721855689,0.364976501
1516,SU,3,13,1989,F,1,0,0.5,0,n,5.063241107,-0.818181818,2.122529644,2.349802372,3,2.764476571,0.657774093,0.748323731,0.89455819
1517,SU,5.5,16,1989,F,1,0,0.5,0,n,3.109683794,-0.957509881,1.076086957,0.714426877,2,-0.395197963,-1.049645286,0.409051557,-0.871826089
1519,SU,3.5,5,1989,F,1,0,0.5,0,n,5.301383399,-1.570158103,1.865612648,1.151185771,3,0.448654692,0.865911711,-1.082783534,0.460884996
1689,SU,1,10,1989,F,1,0,0.5,0,n,4.077075099,-0.808300395,1.634387352,1.403162055,3,0.935492762,-0.204140191,0.772385588,0.070579121
1693,SU,11.3,11.8,1989,F,1,0,0.5,0,n,3.846837945,-1.101778656,1.372529644,0.665019763,3,-0.490656408,-0.405368676,0.057748455,-0.371433942
1935,SU,2.5,7,1989,F,1,0,0.5,1,n,4.931818182,-1.658102767,1.636857708,0.717391304,3,-0.389470456,0.542909765,-1.296934055,0.074749055
1937,SU,13,7,1989,F,1,0,0.5,0,n,3.648221344,-1.494071146,1.077075099,0.565217391,1,-0.683482467,-0.578960632,-0.897507241,-0.870158116
2119,SU,2,11.9,1989,F,1,0,0.5,0,n,5.086956522,-0.764822134,2.161067194,2.397233202,1,2.856116678,0.678501491,0.878257755,0.959609169
2295,SU,6,9.6,1989,F,1,0,0.5,0,n,5.080039526,-1.423913043,1.828063241,1.361660079,2,0.855307668,0.672456,-0.726668061,0.39750199
4850,SU,12.6,13.9,1989,F,1,0,0.5,0,n,2.528656126,-0.705533597,0.911561265,0.410079051,3,-0.983221985,-1.557466528,1.022628893,-1.149543731
810,KL,10.1,11,1990,F,0,-1,-0.5,0,n,1.880434783,-1.135375494,0.372529644,0.304347826,4,-1.403450063,-0.543189902,0.6315055,-0.114286795
847,KL,12,2,1990,F,0,-1,-0.5,0,n,1.086956522,-1.161067194,-0.037055336,0.796442688,1,-0.093164687,-1.597810499,0.580478357,-1.146149447
848,KL,7,3.5,1990,F,0,-1,-0.5,0,n,2.909090909,-1.456521739,0.726284585,1.015810277,4,0.490938433,0.824008157,-0.006333789,0.776923892
874,KL,10,1,1990,F,0,-1,-0.5,1,n,1.376482213,-1.267786561,0.054347826,0.375494071,3,-1.214011213,-1.21299875,0.368519455,-0.91587853
875,KL,-5,0,1990,F,0,-1,-0.5,1,n,1.60770751,-0.303359684,0.652173913,0.251976285,4,-1.542898105,-0.90567469,2.283999903,0.590217743
